qw,qx,qy,qz
0.5075615777897641,-0.45164678753124227,0.3422635839089038,0.6490393387107648
0.508125415591875,-0.451297456040631,0.3435612730200079,0.6481549350901455
0.5067773458828816,-0.45281064965636614,0.34020017818824067,0.6499254388146161
0.5053647250080637,-0.45505605901804536,0.3367775930581965,0.651238305601273
0.5042787302801954,-0.45752743732523576,0.33520648327930075,0.6511591355798675
0.5021952985163629,-0.45914390121567833,0.3348998542733734,0.6517889595046711
0.500722442721613,-0.459834166393719,0.33481879524183744,0.6524767805253298
0.4984649285274485,-0.46188212944086693,0.3347338432731502,0.6528023190054414
0.4948327148170486,-0.46670884968642046,0.3374053804052885,0.6507542110848998
0.4922128273398461,-0.4719159617879972,0.34090284247349767,0.6471530805036118
0.4875256373851524,-0.480103784183673,0.34816919165088756,0.6407786851088959
0.48355453669460774,-0.4867610580097131,0.351507991759316,0.6369307765971594
0.4806298778252027,-0.49206842795282396,0.3557869441573506,0.6326762466862033
0.4778542003922604,-0.4973179061322344,0.3573534833950171,0.6297846864708374
0.47677264009977494,-0.49983744786604384,0.3588866051744965,0.6277346413807156
0.4731823228808191,-0.5053189066216327,0.3614797153551021,0.6245668157296097
0.47095062731803905,-0.5100086866626989,0.3651227756560035,0.6203079919319033
0.4641311726379067,-0.5179963900059504,0.370377963758409,0.6156964824397975
0.4608216114917987,-0.5230714507676496,0.374663367750285,0.6112831264152013
0.4590284493619623,-0.5258082133206514,0.3770318096447083,0.6088231434472027
0.45784118253475875,-0.5292360524048998,0.3790441348798028,0.6054883947882684
0.4558963776243025,-0.5333239691829481,0.3814369336225978,0.6018553833210892
0.45131955676648544,-0.5382225730147866,0.38708439569433706,0.5973213458327066
0.4471790612534762,-0.543196247810102,0.39032393396645465,0.5938147439348714
0.44337145470674144,-0.5472869619246531,0.392863558805414,0.591233421434594
0.4370894364997028,-0.5532765399166006,0.3961669343672932,0.5881238432441821
0.4341183373941077,-0.5567416963267638,0.3980268989637879,0.5857939402303882
0.4293471015066245,-0.5621049272479272,0.40109287529364346,0.582085580116997
0.4250714270601416,-0.5668918474856423,0.40668754164146903,0.5766742222650398
0.41832748899678285,-0.5742576337067467,0.4115320848694281,0.5708516665493729
0.4111938898964177,-0.5814679812888504,0.41671582082933883,0.5649446842994919
0.405789776890895,-0.5868978971438179,0.42206304455779975,0.5592390380844339
0.39772293620243904,-0.5938459101477342,0.4288156380217853,0.552522080651343
0.39424695502947243,-0.5966092221722841,0.4329007809909496,0.5488384901648183
0.391040817450246,-0.5981851612206497,0.43998650409908696,0.5437586488451773
0.38801386831949,-0.5991896854453432,0.44462343535687715,0.5410424748382563
0.3861973950309772,-0.6001816987144835,0.44941020493265965,0.5372745744048095
0.38227344340255526,-0.6020882703619698,0.4571861807439043,0.5313544253118508
0.38252425651826516,-0.6021088906896024,0.46347180166282087,0.5256747720702449
0.3813742650707366,-0.6030894123265359,0.47041247076956855,0.5191810262575657
0.3785423601703942,-0.6048279274575666,0.47438877531172313,0.5156007656920765
0.37772138332912736,-0.604600395052758,0.47717325585287207,0.5138974632908292
